Year,Events,Geoportal development,Members join
2012,CIC Center for Library Initiatives conference focused on geospatial,-,-
2015,"Project kickoff meeting with 9 institutionsâ€¨1st project summit",Environmental scan of available technologies,"9 institutions sign on
Metadata coordinator"
2016,1st user testing of BTAA Geoportal,Launched BTAA Geoportal with GIS data records,"Indiana University
Lead application developer"
2017,2nd in-person project summit,Added scanned maps records,"University of Chicago
The Ohio State University"
2018,2nd user testing of BTAA Geoportal,"Implemented thumbnails and advanced search
Released version 1 of Metadata Handbook",-
2019,hosted Strategic Leadership Group inperson meeting to discuss expansion and sustainability,"Upgraded to GeoBlacklight 2.0
 Added an Open in ArcGIS button, tooltips, and a citation widget",University of Nebraska
2020,"3rd user testing of BTAA Geoportal (remotely)
hosted 1st BTAA GIS Conference",Began developing custom metadata editor,-
2021,"Presented a webinar to WAML
Presented to the BTAA B1G Convening
2nd BTAA GIS Conference","Added licensed data to the Geoportal
Metadata editor (GEOMG) put into production
 OpenGeoMetadata Aardvark schema implemented",-
2022,"3rd BTAA GIS Conference
Evolved from the ""BTAA Geospatial Data Project"" into the ""BTAA Geospatial Information Network""","Developed and upgraded to GeoBlacklight 4.0
Cloud hosting for Geoportal  moved to AWS",Rutgers University-New Brunswick
2023,"Implemented new governance and committee structure 
4th BTAA GIS Conference",-,-