title,creator,date,description,original source,,,
BTAA GDP Accession Guidelines for ArcGIS Open Data Portals (../metadata/arcgis-harvest-policy-2018/),ArcGIS Working Group,2018-05,"Deprecated. This document describes the BTAA GDP Accession Guidelines for ArcGIS Open Data Portals, including eligible sites and records, harvest schedules, and remediation work. This policy may change at any time in response to updates to the ArcGIS Open Data Portal platform and/or the BTAA GDP harvesting and remediation processes.",https://docs.google.com/document/d/1-zXMRKaT6MZEO18erXdN76y76QQzqMwGqygKKXFrLZU/edit?usp=sharing,,,
[Analytics Working Group Final Report](../analytics-working-group-report/),Analytics Working Group,2018-06,Report of what analytics information to collect for the BTAA Geoportal,https://drive.google.com/file/d/1EA42kNs9R8ZeBznujSTQRHH5cbfgcbFV/view?usp=sharing,,,
Best Practices for ArcGIS Hub/Open Data Portals ,ArcGIS Working Group,2018-06,This guide presents publishing workflows that improve the stability of data identifiers and maximize benefits from metadata of resources on ArcGIS Hub / Open Data Portals.,https://docs.google.com/document/d/1x6ZIlRXAv63y1Dqnvr4BFdEwvtQ5XXgdaZNwj8C2Tek/edit,,,
User Personas for the BTAA Geoportal,User Personas &amp; Stories Working Group,2018-09,Illustration of our audience and stakeholders for guiding development of the geoportal and potential project expansion.,https://drive.google.com/drive/folders/1dolXNBZPU3baiuB5m37kq5-18ovXLgD_,,,
Maintaining Access To Ephemeral Resources vs Archived Data,"Majewicz, Karen",2018-06,This document compares the BTAA GDP staff time required for maintaining access to ephemeral resources vs archiving them in a spatial repository. It does not estimate costs for building a spatial repository or additional staff or training that it might require. a university-managed spatial repository and providing stable linkages. ,https://docs.google.com/document/d/1wN3Q6AKRMI_m1cUs9Mrh1Tp0H2dx0OglnznCePJt27U/edit?usp=sharing,,,
Open Data Portal Survey Summary,ArcGIS Working Group,2018-05,,https://docs.google.com/document/d/1eBd0Ezhk3tHN-LUapZIGbUPDL9tEokKtReUtgsFQPkE/edit?usp=sharing,,,
Web Services Report,,2019-10,,https://docs.google.com/document/d/1vnBHhew-cfY6F80SOLj94NJ1x-D67EOHqct-qo2-vvY/edit?usp=sharing,,,
Potential expansion directions for BTAA Geospatial Data Project,Strategic Leadership Group Working Group,2019-10,,https://drive.google.com/file/d/1VVYgHSAHnI6PKdFSdBNJD_O9F4qI5iLf/view,,,
Guide to Citing Geospatial Data,Metadata Committee,2019-08,,https://docs.google.com/document/d/1dsmchOhRTK4qzMAr3FvYyea1xHtC5r0Tw1xYGDYBTks/edit?usp=sharing,,,
A Spatial Data Infrastructure (SDI) for the BTAA,,2019-03,,https://docs.google.com/document/d/1XZkJjRVMkNDX_a-kvmKTtSMf8MeN467yJzHB1r32U2w/edit?usp=sharing,,,
Communication Strategy 2019,Communications Committee,2019-01,,https://drive.google.com/open?id=1nBWhMIYBpLhU9HNt8RTp0Jbw2zHTrYzo,,,
Web Services ArcGIS Online Pilot Report,Web Services Working Group,2020-05,,https://docs.google.com/document/d/1REtud_N2gtw2rL2atKCAzYoaF3NlxYa8wSxfmz6eUVM/edit?usp=sharing,,,
"Impact Report, BTAA Geospatial Data Project: May 2020",Impact Report Working Group,2020-05,,https://drive.google.com/open?id=1D20pCiBhUCl1G6hxml46HigpAMAQvGqG,,,
BTAA Geoportal Collection Development Policy,Collections Development Working Group,2020-02,,https://docs.google.com/document/d/1FeUUz3bGlZe24EC4iuP0949LOAJxdTWAJ2pZaR9X0sE/edit?usp=sharing,,,
Maps Scanning Workflow Working Group Final Report,Maps Scanning Working Group,2020-01,,https://drive.google.com/open?id=1tvVIEXNzZbWNaausVv8xwOLIbt_olRey,,,
Diverse Collections Working Group Summary Report: December 2021,Diverse Collections Working Group,2021-12,,https://drive.google.com/file/d/1ma1Wki6u62q0Zym_6yQ8okqEjplCl9p1/view?usp=sharing,,,
Licensed Data Working Group Final Report,Licensed Data Working Group,2021-01,,https://drive.google.com/file/d/1AFJqeAnJsPwdKv6ub1J8nu3ZgILNEBL8/view?usp=sharing,,,
BTAA GIS Conference 2022 Wrap-Up Report,BTAA GIS Conference Planning Group,2022-12,,https://docs.google.com/document/d/e/2PACX-1vRlAs9NgVnuf1Ozjv-_h9VbFl-FLo03addSGw4jbMf9vNpZ7T_xjWnyEZPGV2W04VRP_vqcbJ5Jp02R/pub,,,
Best Practices for Inputting Creator Field Data,Creator Normalization Working Group,2022-12,,https://docs.google.com/document/d/e/2PACX-1vRgUFOAKtnoZOp3GR7XWAC-3hmG3I0yP7wwoB8RLKQLe-yxAwbIXxFk9AsX16y1HlRLSxgKWwhs64Ol/pub,,,
"OpenRefine + FAST process (+ VIAF, Wikidata, TGN)",Creator Normalization Working Group,2022-12,,https://docs.google.com/document/d/1TS3DRvfhlcQpWHgs1Rft7LFv2uS9Mj7ByBTQlMiYPlI/edit#heading=h.y25up2bi03vo,,,
"Final Report, Original Content Working Group: October 2022",Original Content Working Group,2022-10,,https://docs.google.com/document/d/e/2PACX-1vQnmyeVST1dsMQP0BIklNieu-fZNav2WYlQr3QHrp_qQ-SCBoGpmwsdHzZSQnkufqsfcdMWAMJwLYjc/pub,,,
Final Report: Land Acknowledgement Working Group,Land Acknowledgement Working Group,2022-08,,https://docs.google.com/document/d/e/2PACX-1vTenGnM0Ps9-VzeeJ0rTfx23mrppsiKKhrdbZwRQd9PzaxDV15oe5PY-SH0-IUQUHepNDf-YVpr8Mty/pub,,,