First Name,Last Name,Title,Affiliation,BTAA-GIN Role
Paige,Andrew,Maps Cataloging Librarian,Pennsylvania State University,Team Member
Linda,Ballinger,Metadata Strategist,Pennsylvania State University,Team Member
Mara,Blake,Spatial & Numeric Data Librarian,University of Michigan,Team Member
Sam,Brown,Map Collection Manager,University of Chicago,Team Member
Adonna,Fleming,Professor,University of Nebraska-Lincoln,Team Member
Gabriele,Hayden,Head of Data Services,University of Oregon,Team Member
Taylor,Hixson,Resident Librarian for GIS,University of Chicago,Team Member
Caroline,Kayko,Map and Geospatial Data Librarian,University of Michigan,Team Member
Jae Sung ,Kim,Open Source Geospatial Analyst,Pennsylvania State University,Team Member
Nicole,Kong,GIS Specialist,Purdue University,Team Member
Shirley,Li,GIS Specialist and Clinical Assistant Professor,Purdue University,Team Member
Jennifer,Liss,Monographic Image Cataloging Librarian,Indiana University Bloomington,Team Member
Kelley,O'Neal,GIS Geography and Maps Librarian,University of Maryland,Team Member
Bria,Parker,Metadata Librarian,University of Maryland,Team Member
Rob,Shepard,GIS Specialist,University of Iowa,Team Member
Andrea,Twiss-Brooks,Director of Research and Teaching Support,University of Chicago,Team Member
Tim,Utter,Manager Clark Library,University of Michigan,Team Member
James,Whitacre,GIS Specialist,University of Illinois,Team Member
AJ,Wortley,State Outreach Specialist,University of Wisconsin-Â­Madison,Team Member
Wendy,Lougee,University Librarian and McKnight Presidential Professor,University of Minnesota ,Sponsor
James,Hilton,University Librarian and Dean of Libraries,University of Michigan,Executive Committee
Kim,Armstrong,BTAA CLI Big Ten Academic Alliance Director Library Initiatives,Big Ten Academic Alliance,Library Initiatives Director
John,Butler,Associate University Librarian for Data & Technology,University of Minnesota,Sponsor
Kirsten,Clark,Director Access and Information Services,University of Minnesota,Sponsor
Claire,Stewart,Associate University Librarian for Research & Learning,University of Minnesota,Sponsor
Barbara,Dewey,Dean of University Libraries & Scholarly Communications,Pennsylvania State University,Executive Committee
Kevin,Dyke,Spatial Curator,University of Minnesota,Project Manager & Geoportal Developer
Michael,Johnson,Data Analyst,University of Minnesota,Web Analytics
Paul,Bramscher,Linux Systems Administrator and Software Administrator,University of Minnesota,Systems Administrator
Owen,Connolly,Graduate Student,University of Minnesota,Geospatial Metadata Technician
Alexander,Danielson,Graduate Student,University of Minnesota,Geospatial Metadata Technician
Ziying (Gene),Cheng,Graduate Student,University of Minnesota,Graduate Research Assistant
Yijing (Zoey),Zhou,Graduate Student,University of Minnesota,GIS & Metadata Programmer
Emily,Ruetz,Graduate Student,University of Minnesota,Graduate Research Assistant
Andrew,Smith,Graduate Student,University of Minnesota,Graduate Research Assistant
Lewei,Hi,Graduate Student,University of Minnesota,Graduate Research Assistant